epoch,train_loss,val_rae,lr
1,14.205067380269368,5.051527791553074,4e-05
2,13.847023582458496,4.247251325183445,8e-05
3,21.845772488911948,3.1952497959136963,0.00012
4,10.636519559224446,2.747557414902581,0.00016
5,9.562240600585938,2.5535728401607938,0.0002
6,8.232309150695801,2.7000292539596558,0.00024
7,7.0826034863789875,2.6867862542470298,0.00028000000000000003
8,6.5892102241516115,2.4429324203067355,0.00032
9,6.405620861053467,2.0896328224076166,0.00035999999999999997
10,5.375524775187174,1.91051271226671,0.0004
