epoch,train_loss,val_rae,lr
1,5.199499766031901,3.1739590167999268,4e-05
2,4.6670471350351965,1.2263449430465698,8e-05
3,3.682517162958781,1.5570143461227417,0.00012
4,3.0851916790008547,2.237929105758667,0.00016
5,2.732016944885254,2.1202704906463623,0.0002
6,2.3850082556406655,1.9552932977676392,0.00024
7,2.2044759432474774,2.0664236545562744,0.00028000000000000003
8,2.07135910987854,1.9413377046585083,0.00032
9,1.9412031491597495,1.7050946950912476,0.00035999999999999997
10,1.841757837931315,1.4341784715652466,0.0004
