epoch,train_loss,val_rae,lr
1,14.366908264160156,3.3735742966334024,4e-05
2,15.44734598795573,2.9832145902845593,8e-05
3,14.494034576416016,2.5809768040974936,0.00012
4,11.847536913553874,2.0980719460381403,0.00016
5,10.77621898651123,2.2708404064178467,0.0002
6,8.24495038986206,2.544992936982049,0.00024
7,7.503616237640381,2.54200013478597,0.00028000000000000003
8,6.579120699564616,2.5442125267452664,0.00032
9,5.826499112447103,2.4314268430074057,0.00035999999999999997
10,5.226629543304443,1.9525534709294636,0.0004
