epoch,train_loss,val_rae,lr
1,5.792733065287272,1.726663589477539,4e-05
2,4.667708571751913,1.15134596824646,8e-05
3,3.54455984433492,1.6486939191818237,0.00012
4,3.036149040857951,2.2650961875915527,0.00016
5,2.646378183364868,2.2148897647857666,0.0002
6,2.3993666807810468,1.9290169477462769,0.00024
7,2.2187329133351645,1.9790459871292114,0.00028000000000000003
8,2.072411600748698,2.005868434906006,0.00032
9,2.010633436838786,1.7627314329147339,0.00035999999999999997
10,1.8738588730494181,1.523089051246643,0.0004
